image_id,question_id,true_answer,model_answer,question,field,image_number
V2_50,3,"Hồng, Vàng","Hồng, vàng",Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,50
V2_51,1,C2 Ổi Hồng Chanh Dây,Trà 2°2 Guava Fruit,Sản phẩm này được gọi là gì?,Tên sản phẩm,51
V2_51,2,"Nước ngọt, Nước giải khát",Guava Fruit 2. Nước giải khát,Sản phẩm này thuộc loại nào?,Loại sản phẩm,51
V2_51,3,"Hồng, Vàng","Hồng, vàng",Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,51
V2_51,4,Uống,Giải khát,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,51
V2_51,5,Không xác định,Xem trên cổ chai,Hạn sử dụng của sản phẩm là gì?,Hạn sử dụng,51
V2_52,1,C2 Ổi Hồng Chanh Dây,Trà xanh hương ổi hồng chanh dây C2,Đây là sản phẩm gì?,Tên sản phẩm,52
V2_52,2,"Nước ngọt, Nước giải khát",2. Đồ uống,Phân loại của sản phẩm này là gì?,Loại sản phẩm,52
V2_52,3,"Hồng, Vàng",Hồng,Sản phẩm này có màu như thế nào?,Màu sắc,52
V2_52,4,Uống,Giải khát,Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,52
V2_52,5,12 tháng tính từ ngày sản xuất,Không xác định,Sản phẩm trong ảnh có hạn dùng đến khi nào?,Hạn sử dụng,52
V2_53,1,Healthy Care Brain Booster Ginkgo Biloba,Brain Booster Ginkgo Biloba,Tên của sản phẩm này là gì?,Tên sản phẩm,53
V2_53,2,Viên uống bổ não,Thực phẩm chức năng,Sản phẩm này thuộc loại nào?,Loại sản phẩm,53
V2_53,3,"Trắng, xanh dương",Trắng,Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,53
V2_53,4,"Hỗ trợ tăng cường lưu thông máu, hỗ trợ tăng cường khả năng hoạt động của não, cải thiện trí nhớ","Tăng cường sức khỏe não bộ, tăng cường sự tỉnh táo và cải thiện trí nhớ",Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,53
V2_54,1,Healthy Care Brain Booster Ginkgo Biloba,Brain Booster Ginkgo Biloba 6000mg Capsules,Tên sản phẩm trong ảnh là gì?,Tên sản phẩm,54
V2_54,2,Viên uống bổ não,Vitamins and Supplements,Sản phẩm này được phân loại như thế nào?,Loại sản phẩm,54
V2_54,3,"Trắng, xanh dương",Không xác định,Màu của sản phẩm là màu gì?,Màu sắc,54
V2_54,4,"Hỗ trợ tăng cường lưu thông máu, hỗ trợ tăng cường khả năng hoạt động của não, cải thiện trí nhớ",Take 1 capsule daily with a meal or as professionally prescribed.,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,54
V2_55,1,Healthy Care Brain Booster Ginkgo Biloba,LUSTER BA ULTIMATE,Sản phẩm này có tên là gì?,Tên sản phẩm,55
V2_55,2,Viên uống bổ não,Viên nang,Sản phẩm này thuộc loại nào?,Loại sản phẩm,55
V2_55,3,"Trắng, xanh dương",Trắng,Màu của sản phẩm là màu gì?,Màu sắc,55
V2_55,4,"Hỗ trợ tăng cường lưu thông máu, hỗ trợ tăng cường khả năng hoạt động của não, cải thiện trí nhớ",Không xác định,Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,55
V2_55,5,Không xác định,FEB 2026,Sản phẩm trong ảnh có hạn dùng đến khi nào?,Hạn sử dụng,55
V2_56,1,Teisseiro,Mathieu Teisseire.,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,56
V2_56,2,Không xác định,Si rô.,Đây là loại sản phẩm gì?,Loại sản phẩm,56
V2_56,3,Nâu,"Vàng, đỏ.",Sản phẩm này có đặc điểm gì về màu sắc?,Màu sắc,56
V2_56,4,Không xác định,Pha trộn đồ uống.,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,56
V2_57,1,Teisseiro,Mathieu Teisseire Litchi Lychee,Sản phẩm này có tên là gì?,Tên sản phẩm,57
V2_57,2,Không xác định,Syrup,Đây là loại sản phẩm gì?,Loại sản phẩm,57
V2_57,3,Nâu,Amber/Brownish,Sản phẩm trong ảnh có màu gì?,Màu sắc,57
V2_57,4,Không xác định,To add to drinks for flavor,Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,57
V2_57,5,Không xác định,"Best before and consuming. Store in a cool, dry place.",Tôi có thể sử dụng sản phẩm này trong bao lâu?,Hạn sử dụng,57
V2_58,1,Teisseiro,Rượu,Đây là sản phẩm gì?,Tên sản phẩm,58
V2_58,2,Không xác định,Đồ uống có cồn,Hãy cho tôi biết phân loại của sản phẩm này?,Loại sản phẩm,58
V2_58,4,Không xác định,Uống,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,58
V2_59,1,ORIHIRO,Sản phẩm: Không xác định,Đây là sản phẩm gì?,Tên sản phẩm,59
V2_59,3,"Nâu, xanh lá nhạt, trắng",Màu sắc: Nâu,Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,59
V2_59,4,Không xác định,Hướng dẫn sử dụng: Uống 4 viên mỗi ngày với nước hoặc nước ấm.,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,59
V2_60,1,ORIHIRO,EPA-DHA含有精製魚油加工食品,Tên sản phẩm trong ảnh là gì?,Tên sản phẩm,60
V2_60,2,Không xác định,Thực phẩm bổ sung,Sản phẩm này được phân loại như thế nào?,Loại sản phẩm,60
V2_60,3,"Nâu, xanh lá nhạt, trắng",Nâu,Sản phẩm này màu gì?,Màu sắc,60
V2_60,4,Không xác định,"Không để nơi có ánh nắng trực tiếp, nhiệt độ và độ ẩm cao, bảo quản nơi mát mẻ.",Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,60
V2_60,5,Không xác định,Tháng 11 năm 2026,Sản phẩm này có thời hạn sử dụng bao lâu?,Hạn sử dụng,60
V2_61,1,ORIHIRO,ORIHIRO フィッシュオイル,Sản phẩm này có tên là gì?,Tên sản phẩm,61
V2_61,2,Không xác định,Dầu cá Omega-3 EPA&DHA,Đây là loại sản phẩm gì?,Loại sản phẩm,61
V2_61,3,"Nâu, xanh lá nhạt, trắng",EPA&DHA 3. Nâu,Sản phẩm này có màu như thế nào?,Màu sắc,61
V2_61,4,Không xác định,Uống 4 viên mỗi ngày,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,61
V2_62,1,ORIHIRO,Không xác định,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,62
V2_62,2,Không xác định,Thực phẩm chức năng/Vitamin/Thực phẩm bổ sung,Phân loại của sản phẩm này là gì?,Loại sản phẩm,62
V2_62,3,"Nâu, xanh lá nhạt, trắng",Nâu sẫm,Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,62
V2_62,4,Không xác định,Uống 4 viên mỗi ngày với nước hoặc nước ấm,Cách sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,62
V2_63,1,"Dung dịch nhỏ mắt, nhỏ mũi Natri Clorat","Natri clorid 0,9%",Tên sản phẩm trong ảnh là gì?,Tên sản phẩm,63
V2_63,3,"Trắng, xanh lá",Trắng và xanh lá cây,Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,63
V2_63,4,"Nhỏ từng giọt vào mắt, vào mũi",Để nhỏ mắt và mũi,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,63
V2_64,1,"Dung dịch nhỏ mắt, nhỏ mũi Natri Clorat",Không xác định,Tên sản phẩm trong ảnh là gì?,Tên sản phẩm,64
V2_64,2,"Thuốc nhỏ mắt, nhỏ mũi",Dược phẩm,Hãy cho tôi biết phân loại của sản phẩm này?,Loại sản phẩm,64
V2_64,3,"Trắng, xanh lá",Không xác định,Sản phẩm này màu gì?,Màu sắc,64
V2_64,4,"Nhỏ từng giọt vào mắt, vào mũi",Đọc kỹ hướng dẫn sử dụng trước khi dùng. Chỉ dùng trong 15 ngày sau khi mở nắp.,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,64
V2_65,1,"Dung dịch nhỏ mắt, nhỏ mũi Natri Clorat",Natri clorid,Hãy cho tôi biết tên sản phẩm trong ảnh?,Tên sản phẩm,65
V2_65,2,"Thuốc nhỏ mắt, nhỏ mũi","Dung dịch rửa mắt, mũi",Hãy cho tôi biết phân loại của sản phẩm này?,Loại sản phẩm,65
V2_65,3,"Trắng, xanh lá",Không xác định,Sản phẩm này có đặc điểm gì về màu sắc?,Màu sắc,65
V2_65,4,"Nhỏ từng giọt vào mắt, vào mũi","Nhỏ hoặc rửa mắt, hốc mũi mỗi lần 1-3 giọt, ngày 1-3 lần",Cách sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,65
V2_66,1,"Dung dịch nhỏ mắt, nhỏ mũi Natri Clorat",Natri Clorid 0.9%,Tên của sản phẩm này là gì?,Tên sản phẩm,66
V2_66,2,"Thuốc nhỏ mắt, nhỏ mũi",Không xác định,Có thể cho biết loại của sản phẩm này được không?,Loại sản phẩm,66
V2_66,3,"Trắng, xanh lá",Trắng,Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,66
V2_66,4,"Nhỏ từng giọt vào mắt, vào mũi",Không xác định,Sản phẩm này dùng để làm gì?,Công dụng/Hướng dẫn sử dụng,66
V2_67,1,Dung dịch nhỏ mắt Diquas,DIQUAS® Dung dịch nhỏ mắt Natri Diquafosol 3%,Đây là sản phẩm gì?,Tên sản phẩm,67
V2_67,3,"Trắng, xanh dương, vàng","Trắng, vàng, xanh dương",Sản phẩm trong ảnh có màu gì?,Màu sắc,67
V2_67,4,Nhỏ từng giọt vào mắt,Không xác định,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,67
V2_68,1,Dung dịch nhỏ mắt Diquas,Không xác định,Sản phẩm này có tên là gì?,Tên sản phẩm,68
V2_68,2,Thuốc nhỏ mắt,Thuốc,Có thể cho biết loại của sản phẩm này được không?,Loại sản phẩm,68
V2_68,3,"Trắng, xanh dương, vàng","Trắng, xanh, vàng",Sản phẩm này màu gì?,Màu sắc,68
V2_68,4,Nhỏ từng giọt vào mắt,Không xác định,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,68
V2_68,5,31 tháng kể từ ngày sản xuất,Đến 11/06/26,Tôi có thể sử dụng sản phẩm này trong bao lâu?,Hạn sử dụng,68
V2_69,1,Dung dịch nhỏ mắt Diquas,DIQUAS,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,69
V2_69,2,Thuốc nhỏ mắt,Ophthalmic solution,Sản phẩm này thuộc loại nào?,Loại sản phẩm,69
V2_69,3,"Trắng, xanh dương","White, yellow, blue",Bạn có thể mô tả màu sắc của sản phẩm không?,Màu sắc,69
V2_69,4,Nhỏ từng giọt vào mắt,Không xác định,Sản phẩm trong ảnh được sử dụng như thế nào?,Công dụng/Hướng dẫn sử dụng,69
V2_70,1,Dung dịch nhỏ mắt Diquas,Thuốc nhỏ mắt,Đây là sản phẩm gì?,Tên sản phẩm,70
V2_70,2,Thuốc nhỏ mắt,Thuốc,Sản phẩm này thuộc loại gì?,Loại sản phẩm,70
V2_70,3,"Trắng, xanh dương, vàng","Trắng, vàng, xanh dương",Sản phẩm này màu gì?,Màu sắc,70
V2_70,4,Nhỏ từng giọt vào mắt,Không xác định,Sản phẩm này có công dụng gì?,Công dụng/Hướng dẫn sử dụng,70
V2_70,5,Không xác định,1 tháng sau khi mở nắp,Hạn sử dụng của sản phẩm trong ảnh là gì?,Hạn sử dụng,70
V2_71,1,Dung dịch nhỏ mắt Diquas,Diquas Ophthalmic solution,Đây là sản phẩm gì?,Tên sản phẩm,71
V2_71,3,"Trắng, xanh dương, vàng","Trắng, xanh, vàng",Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,71
V2_71,4,Nhỏ từng giọt vào mắt,Không xác định,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,71
V2_72,1,Dung dịch nhỏ mắt Sanlein,Không xác định,Sản phẩm này được gọi là gì?,Tên sản phẩm,72
V2_72,3,"Trắng, xanh dương","Trắng, xanh",Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,72
V2_72,4,Nhỏ từng giọt vào mắt,Xem tờ hướng dẫn sử dụng thuốc kèm theo,Cách sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,72
V2_72,5,36 tháng kể từ ngày sản xuất,Đến 120326,Tôi có thể sử dụng sản phẩm này trong bao lâu?,Hạn sử dụng,72
V2_73,1,Dung dịch nhỏ mắt Sanlein,Sanlein 0.3,Tên sản phẩm trong ảnh là gì?,Tên sản phẩm,73
V2_73,2,Thuốc nhỏ mắt,Ophthalmic solution,Sản phẩm này thuộc loại gì?,Loại sản phẩm,73
V2_73,3,"Trắng, xanh dương","2. Ophthalmic solution 3. Trắng, xanh",Sản phẩm này có màu như thế nào?,Màu sắc,73
V2_73,4,Nhỏ từng giọt vào mắt,Không xác định,Bạn có thể cho biết công dụng của sản phẩm không?,Công dụng/Hướng dẫn sử dụng,73
V2_74,1,Dung dịch nhỏ mắt Sanlein,Không xác định,Có thể cho biết tên của sản phẩm này không?,Tên sản phẩm,74
V2_74,3,"Trắng, xanh dương","Trắng, xanh",Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,74
V2_74,4,Nhỏ từng giọt vào mắt,Nhỏ mắt,Hãy cho tôi biết cách sử dụng sản phẩm này?,Công dụng/Hướng dẫn sử dụng,74
V2_74,5,Không xác định,Hủy bỏ sau khi mở 1 tháng,Hãy cho tôi biết hạn dùng của sản phẩm này?,Hạn sử dụng,74
V2_75,1,Dung dịch nhỏ mắt Sanlein,Sanlein 0.3,Sản phẩm này có tên là gì?,Tên sản phẩm,75
V2_75,2,Thuốc nhỏ mắt,Dung dịch nhỏ mắt,Sản phẩm này thuộc loại nào?,Loại sản phẩm,75
V2_75,3,"Trắng, xanh dương",2. Dung dịch nhỏ mắt 3. Trắng và xanh dương,Hãy cho tôi biết màu sắc của sản phẩm này?,Màu sắc,75
V2_75,4,Nhỏ từng giọt vào mắt,Không xác định,Hướng dẫn sử dụng sản phẩm này như thế nào?,Công dụng/Hướng dẫn sử dụng,75
